id,name,artist_credit,platform,type,first_release_date_year
928522,"Greatest Hits",24465,Compilation,Album,1987
940822,"50 First Dates: Love Songs From the Original Motion Picture",1,Soundtrack,Album,2004
946135,"The Heart of Cash",387,Compilation,Album,1968
954662,"In Their Own Words, Volume 1",1,Live,Album,1994
966179,"Frederick Fennell Conducts Cole Porter & George Gershwin: The Studio Recordings",2153815,Compilation,Album,1993
968121,Favorites,38093,Compilation,Album,1977
981917,"Fillmore West 1969",1528,Live,Album,2005
988857,"Ringo Starr and His All-Starr Band",1447683,Live,Album,1990
1003572,"Reconsider Baby",1539,Compilation,Album,1985
1006950,"Dead Set",1528,Live,Album,1981
1015820,"Road Trips, Volume 4, No. 1: Big Rock Pow Wow '69",1528,Live,Album,2010
1017559,"40th Anniversary Tour Box",2259,Compilation,Album,2008
1025554,"Ringo Starr and His Third All-Starr Band, Volume 1",1447683,Live,Album,1997
1026328,"West Side Story",37740,Soundtrack,Album,2009
1031403,"The Dark Horse Years 1976-1992",2863,Compilation,Album,2004
1070420,"Eric Clapton at His Best",938,Compilation,Album,1972
1072058,"Buffalo Springfield",2531,Compilation,Album,1973
1074038,"Live in Philadelphia '70",1757,Live,Album,2005
1076458,"CMJ New Music Monthly, Volume 8: March 1994",1,Compilation,Album,1994
1082303,"The Folk Years: Yesterdayâ€™s Gone",1,Compilation,Album,2002
1086135,Journeys,1,Compilation,Album,2000
1088161,"Super Hits",10032,Compilation,Album,2011
1090138,"Playlist: The Very Best of KRSâ€One",940630,Compilation,Album,2010
1092695,"Berlioz: Les Nuits dâ€™Ã©tÃ© / Handel: Arias",2062949,Live,Album,2011
1094956,"Ringo 5.1: The Surround Sound Collection",48504,Compilation,Album,2008
1099568,"Wynton Marsalis & Eric Clapton Play the Blues: Live from Jazz at Lincoln Center",864403,Live,Album,2011
1101417,"A Charlie Brown Christmas",226630,Soundtrack,Album,1965
1104343,"Road Trips, Volume 4, No. 5: Boston Music Hall 6-9-76",1528,Live,Album,2011
1105878,Discovery,191,Compilation,Album,2011
1109236,"A Foot in the Door: The Best of Pink Floyd",191,Compilation,Album,2011
1128908,"Peter, Paul & Mary",33120,Live,Album,1962
1135073,"Daveâ€™s Picks, Volume 1: The Mosque, Richmond, VA â€¢ 5/25/77",1528,Live,Album,2012
1140056,"The Wall Singles Collection",191,Compilation,Album,2011
1142425,"More Cajun Music and Zydeco",1,Compilation,Album,1995
1159931,"Complete Piano Music",1115719,Compilation,Album,NULL
1166995,"Priscilla, Queen of the Desert: The Musical",970462,Soundtrack,Album,2011
1169467,"Daveâ€™s Picks, Volume 2: Dillon Stadium, Hartford, CT â€¢ 7/31/74",1528,Live,Album,2012
1180151,"CSN 2012",12103,Live,Album,2012
1188320,"American Music Legends Christmas Favorites",1539,Compilation,Album,2004
1190775,"Great Gentlemen of Song: Spotlight on Lou Rawls",30323,Compilation,Album,1995
1194173,"Daveâ€™s Picks, Volume 3: Auditorium Theatre, Chicago, IL â€¢ 10/22/71",1528,Live,Album,2012
1201199,"Fifty Big Ones: Greatest Hits",1135,Compilation,Album,2012
1202273,Moonstruck,5411,Soundtrack,Album,1988
1233975,"Salute to the Services: The Military Band",1154123,Compilation,Album,1998
1235826,"Europe '72, Volume 2",1528,Live,Album,2011
1263147,"Daveâ€™s Picks, Volume 4: College of William & Mary, Williamsburg, VA â€¢ 9/24/76",1528,Live,Album,2012
1265498,"ÐœÐµÑ€Ð¸ ÐŸÐ¾Ð¿Ð¿Ð¸Ð½Ñ, Ð´Ð¾ ÑÐ²Ð¸Ð´Ð°Ð½Ð¸Ñ",151767,Soundtrack,Album,1984
1266111,"Daveâ€™s Picks, Volume 6: San Francisco, 12/20/69 â€¢ St. Louis, 2/2/70",1528,Live,Album,2013
1276828,"May 1977",1528,Live,Album,2013
1288515,"25 Years of #1 Hits: Arista Records Anniversary Celebration",1033220,Compilation,Album,2000
1295000,"Daveâ€™s Picks, Volume 7: Horton Field House, Illinois State, Normal, IL â€¢ 4/24/78",1528,Live,Album,2013
