artist_id,genre,count
490208,classical,1
503143,classical,1
510265,soul,1
520805,classical,1
520805,opera,1
521142,classical,1
522451,classical,1
526872,"alternative rock",1
562672,classical,1
568144,classical,1
573582,classical,1
595413,"alternative rock",1
595413,"pop rock",1
631514,classical,1
647066,pop,1
653619,metalcore,1
653619,"melodic metalcore",2
676907,classical,1
677828,pop,1
677828,electropop,1
677828,dance-pop,1
677828,"folk pop",1
712548,electronic,1
712548,funk,1
712548,soul,1
712548,psychedelic,1
712548,"jazz fusion",2
712548,"free jazz",1
714072,electronic,1
714072,"indie rock",1
714072,indie,1
714072,indietronica,1
742888,classical,1
828331,"hip hop",1
847007,pop,1
855124,"indie rock",1
863936,"folk rock",1
864009,classical,1
899138,classical,1
931234,rock,1
931234,pop,1
931234,jazz,1
931234,"indie rock",1
931234,funk,1
931234,electronica,1
931234,soul,1
1036237,soul,1
1064183,electronic,1
1072177,jazz,1
1240195,rock,1
1240195,singer-songwriter,1
1240195,"pop rock",1
1304967,jazz,1
1498195,chiptune,1
1,rock,-6
1,trance,-5
1,classical,-4
1,pop,-6
1,jungle,-7
1,instrumental,-5
1,chillout,-5
1,jazz,-5
1,folk,-5
1,metal,-5
1,blues,-6
1,ska,-6
1,"new wave",-5
1,electro,-6
1,"hip hop",-5
1,bluegrass,-5
1,reggae,-5
1,rockabilly,-6
1,tango,-8
1,opera,-5
1,fusion,-6
1,indie,-5
1,"new age",-5
1,eurodance,-6
1,psytrance,-5
1,lounge,-5
1,"blues rock",-6
1,"country rock",-6
1,"soft rock",-7
1,"rock and roll",-6
1,"progressive trance",-5
1,latin,-5
1,musical,-5
1,psychobilly,-5
1,club,-6
1,calypso,-4
1,ragga,-5
23,rock,3
23,jazz,1
23,folk,2
23,blues,2
23,experimental,2
23,"blues rock",1
23,americana,1
23,"experimental rock",2
40,rock,0
40,pop,2
40,"alternative rock",5
40,singer-songwriter,-1
40,post-grunge,3
40,"soft rock",-1
40,dance-pop,0
40,"acoustic rock",-1
40,"pop rock",1
47,rock,1
47,"indie rock",4
47,"indie pop",2
47,"indie folk",3
47,"acoustic rock",2
60,rock,1
60,electronic,1
60,"alternative rock",4
60,jazz,1
60,experimental,1
60,electronica,1
191,rock,15
191,"progressive rock",25
191,progressive,7
191,"psychedelic rock",21
191,"art rock",12
191,"classic rock",1
191,"psychedelic pop",1
191,"pop rock",1
191,"space rock",4
918,rock,5
918,"progressive rock",11
918,"heavy metal",0
918,metal,0
918,"hard rock",4
918,"classic rock",1
918,"pop rock",2
918,aor,2
920,electronic,2
920,"big beat",1
920,electronica,1
992,"dark wave",1
992,"new age",2
992,gothic,1
1043,jazz,1
1043,"acid jazz",1
1043,jazz-funk,1
1043,"soul jazz",1
1122,rock,3
1122,jazz,1
1122,"jazz rock",1
1122,"soft rock",2
1122,"pop rock",2
1135,rock,3
1135,pop,5
1135,"psychedelic rock",1
1135,"psychedelic pop",3
1135,"pop rock",2
1135,"rock and roll",0
1135,"surf rock",4
1156,jazz,3
1156,"hard bop",2
1156,"big band",1
1156,"contemporary jazz",0
1156,"soul jazz",3
1156,"latin jazz",1
1317,jazz,2
1317,swing,1
1317,"big band",1
1343,rock,3
1343,pop,1
1343,"progressive rock",2
1343,ambient,0
1343,folk,1
1343,"new wave",2
1343,"art rock",2
1343,"soft rock",1
1343,"pop rock",4
1343,"chamber pop",1
1418,rock,1
1418,electronic,9
1418,"progressive rock",1
1418,krautrock,6
1418,ambient,9
1418,"new age",4
1590,jazz,3
1590,bebop,1
1605,rock,1
1605,"progressive rock",1
1605,"heavy metal",7
1605,krautrock,2
1605,metal,1
1605,"hard rock",13
1605,"power metal",0
1605,"acoustic rock",1
1605,"pop rock",0
1641,classical,1
1641,jazz,4
1641,electro,4
1641,funk,1
1641,fusion,1
1641,"jazz fusion",3
1641,post-bop,2
1641,"hard bop",4
1641,jazz-funk,3
1641,"soul jazz",1
1655,blues,7
1655,"blues rock",2
1655,"chicago blues",1
1655,"electric blues",5
1655,"country blues",3
1655,"delta blues",4
1671,blues,9
1671,"psychedelic rock",2
1671,"blues rock",3
1671,"chicago blues",6
1671,"electric blues",4
1671,"delta blues",5
1743,pop,1
1743,jazz,6
1743,swing,2
1743,gospel,2
1743,"vocal jazz",2
1762,rock,1
1762,"heavy metal",2
1762,metal,1
1762,"hard rock",5
1762,"space rock",3
1762,aor,1
1766,jazz,9
1766,post-bop,2
1766,"hard bop",6
1766,bebop,1
1766,"avant-garde jazz",4
1766,"free jazz",5
1949,downtempo,1
1949,pop,4
1949,"alternative rock",1
1949,singer-songwriter,1
1949,electropop,1
1949,dance-pop,1
1949,"trip hop",2
2077,"heavy metal",3
2077,"thrash metal",3
2077,metal,1
2077,"nu metal",1
2077,"hardcore punk",1
2077,"glam metal",1
2077,"groove metal",3
2095,rock,1
2095,ska,1
2095,swing,1
2101,rock,4
2101,electronic,1
2101,classical,2
2101,"progressive rock",6
2101,jazz,3
2101,orchestral,1
2101,experimental,3
2101,"psychedelic rock",1
2101,"blues rock",1
2101,"art rock",4
2101,"spoken word",1
2101,"experimental rock",4
2101,"jazz fusion",3
2101,"big band",1
2101,"modern classical",2
2101,doo-wop,1
2278,rock,1
2278,pop,1
2278,"alternative rock",1
2292,blues,3
2292,"blues rock",1
2292,"chicago blues",1
2292,"electric blues",2
2461,jazz,2
2461,swing,1
2461,"big band",1
2735,rock,4
2735,"stoner rock",1
2735,blues,1
2735,"hard rock",2
2735,"blues rock",3
2735,"southern rock",3
3362,jazz,1
3369,jazz,1
3369,"hard bop",1
3369,"soul jazz",1
3415,pop,0
3415,jazz,2
3415,blues,1
3415,country,0
3415,soul,3
3415,gospel,0
3415,"vocal jazz",0
3415,"country blues",0
3415,"soul jazz",1
3427,jazz,3
3427,"big band",1
3427,"vocal jazz",1
3451,blues,2
3459,jazz,1
3466,jazz,1
3466,swing,1
3466,"big band",1
3697,jazz,2
3697,"production music",1
3697,"hard bop",1
3698,jazz,2
3698,"hard bop",1
3698,"soul jazz",1
3755,blues,5
3755,"chicago blues",2
3755,"electric blues",2
3758,blues,1
3857,classical,1
4277,classical,2
4335,pop,2
4335,jazz,3
4335,"big band",1
4335,"vocal jazz",1
4382,blues,1
4382,"vocal jazz",1
4382,"acoustic blues",1
4474,jazz,1
4502,blues,1
4502,"chicago blues",1
4508,jazz,3
4508,swing,1
4508,"big band",1
4513,folk,1
4514,jazz,1
4514,"hard bop",1
4514,"soul jazz",1
4523,jazz,2
4523,swing,1
4524,jazz,1
4622,jazz,2
4622,swing,1
4622,"big band",1
4622,"vocal jazz",1
4622,"cool jazz",1
4625,jazz,2
4625,"big band",1
4625,ragtime,2
4769,jazz,5
4769,swing,1
4769,"jazz fusion",1
4769,"big band",3
4769,bebop,1
4769,jazz-funk,1
5258,jazz,2
5260,soul,1
5269,jazz,3
5269,"bossa nova",2
5269,swing,1
5269,bebop,1
5269,"latin jazz",2
5325,jazz,1
5374,jazz,4
